phase,sample,wall_ms,game_ms,render_ms,draw_calls,primitives,process_bytes,world_actors,compound_actors,instances,batches
32_preview_compounds,80,5.7256,1.7505,5.7226,2500,833449,4611772416,96,32,721,208
32_preview_compounds,81,6.7624,1.6807,6.9094,2502,833473,4611772416,96,32,721,208
32_preview_compounds,82,7.9293,1.5635,7.8462,2500,833449,4611772416,96,32,721,208
32_preview_compounds,83,6.0250,1.5687,5.8071,2527,1190949,4611772416,96,32,721,208
32_preview_compounds,84,6.5835,1.8205,6.9590,2501,833461,4611772416,96,32,721,208
32_preview_compounds,85,7.1102,1.4267,7.0484,2501,833461,4611772416,96,32,721,208
32_preview_compounds,86,6.7972,1.5245,6.8501,2527,1190933,4611772416,96,32,721,208
32_preview_compounds,87,6.8931,1.5336,6.8515,2500,833449,4611772416,96,32,721,208
32_preview_compounds,88,8.2069,1.4983,8.1732,2500,833449,4611772416,96,32,721,208
32_preview_compounds,89,5.7557,1.5191,5.7667,2500,833449,4611772416,96,32,721,208
32_preview_compounds,90,6.8324,1.5222,6.7858,2527,1190949,4611772416,96,32,721,208
32_preview_compounds,91,7.2764,1.6044,7.1871,2500,833449,4611772416,96,32,721,208
32_preview_compounds,92,6.8075,1.4686,6.9370,2500,833449,4611772416,96,32,721,208
32_preview_compounds,93,6.9294,1.4931,6.9395,2527,1190933,4611772416,96,32,721,208
32_preview_compounds,94,6.8209,1.4806,6.7910,2501,833461,4611788800,96,32,721,208
32_preview_compounds,95,6.9397,1.5107,6.9087,2500,833449,4611788800,96,32,721,208
32_preview_compounds,96,6.9536,1.5349,6.9722,2500,833449,4611788800,96,32,721,208
32_preview_compounds,97,7.1811,1.7069,6.8850,2527,1190949,4611788800,96,32,721,208
32_preview_compounds,98,7.0232,1.5525,7.2112,2500,833449,4611788800,96,32,721,208
32_preview_compounds,99,7.2578,1.6555,6.8862,2500,833449,4611788800,96,32,721,208
32_preview_compounds,100,6.2313,1.8218,6.7360,2527,1190933,4611788800,96,32,721,208
32_preview_compounds,101,7.1512,1.5036,6.9953,2500,833449,4611788800,96,32,721,208
32_preview_compounds,102,6.9597,1.5733,7.0702,2500,833449,4611788800,96,32,721,208
32_preview_compounds,103,6.8523,1.4971,6.7605,2500,833449,4611788800,96,32,721,208
32_preview_compounds,104,7.2683,1.6773,6.8116,2527,1190949,4611788800,96,32,721,208
32_preview_compounds,105,6.9802,1.8641,7.5416,2501,833461,4611788800,96,32,721,208
32_preview_compounds,106,7.8310,1.4119,7.7623,2500,833449,4611788800,96,32,721,208
32_preview_compounds,107,6.0640,1.6604,5.8786,2527,1190933,4611796992,96,32,721,208
32_preview_compounds,108,8.3738,1.6429,8.2931,2500,833449,4611796992,96,32,721,208
32_preview_compounds,109,6.2305,1.6726,6.3807,2500,833449,4611796992,96,32,721,208
32_preview_compounds,110,5.6499,1.5089,5.7441,2500,833449,4611796992,96,32,721,208
32_preview_compounds,111,7.2924,1.6954,7.0955,2527,1190949,4611796992,96,32,721,208
32_preview_compounds,112,7.0637,1.5649,7.1663,2500,833449,4611796992,96,32,721,208
32_preview_compounds,113,6.9793,1.6168,6.8366,2500,833449,4611801088,96,32,721,208
32_preview_compounds,114,6.8050,1.6324,7.0790,2528,1190945,4611801088,96,32,721,208
32_preview_compounds,115,7.7412,1.4513,7.7020,2500,833449,4611801088,96,32,721,208
32_preview_compounds,116,6.2875,1.5744,6.0071,2500,833449,4611801088,96,32,721,208
32_preview_compounds,117,7.4816,1.6667,7.6807,2500,833449,4611801088,96,32,721,208
32_preview_compounds,118,6.3187,1.6935,6.1772,2527,1190949,4611801088,96,32,721,208
32_preview_compounds,119,8.1496,1.6504,8.0382,2500,833449,4611801088,96,32,721,208
32_preview_compounds,120,5.6235,1.7526,5.7843,2500,833449,4611801088,96,32,721,208
