stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
8,113,5.9603,1.7102,5.9858,254,4685742080,77,1,3,3
8,114,6.8069,1.6632,6.7368,240,4685742080,77,1,3,3
8,115,5.0339,1.6228,5.1336,240,4685742080,77,1,3,3
8,116,5.4020,1.4917,5.6294,302,4685742080,77,1,3,3
8,117,7.2461,1.7587,6.4669,240,4685746176,77,1,3,3
8,118,5.4221,1.9468,5.9729,240,4685746176,77,1,3,3
8,119,6.1022,1.6104,6.0227,254,4685746176,77,1,3,3
8,120,7.4174,1.8172,6.4750,240,4685746176,77,1,3,3
8,121,4.6077,2.6215,5.3789,240,4685746176,77,1,3,3
8,122,5.7836,1.6074,6.0109,302,4685746176,77,1,3,3
8,123,6.2995,1.7231,6.0983,240,4685746176,77,1,3,3
8,124,7.3362,1.6733,7.0396,240,4685746176,77,1,3,3
8,125,5.4203,2.1493,5.6742,254,4685750272,77,1,3,3
8,126,6.5049,1.8834,6.0454,240,4685750272,77,1,3,3
8,127,5.0487,2.0513,5.5908,240,4685750272,77,1,3,3
8,128,6.1935,1.6534,6.1337,302,4685750272,77,1,3,3
8,129,5.9302,1.6898,5.8792,240,4685750272,77,1,3,3
8,130,7.7651,1.9921,6.9751,254,4685750272,77,1,3,3
8,131,6.3594,2.4428,6.4685,240,4685750272,77,1,3,3
8,132,5.1212,2.2632,5.1565,240,4685750272,77,1,3,3
8,133,5.8770,2.2098,6.1902,240,4685750272,77,1,3,3
8,134,7.2148,1.9691,6.8734,240,4685750272,77,1,3,3
8,135,5.9233,2.2607,6.3019,240,4685750272,77,1,3,3
8,136,4.4881,1.8305,4.3407,240,4685754368,77,1,3,3
8,137,7.5526,2.0813,7.6373,240,4686147584,77,1,3,3
8,138,4.2672,1.7559,4.5783,240,4686147584,77,1,3,3
8,139,6.5968,1.6697,6.0737,240,4686147584,77,1,3,3
8,140,6.5353,2.1373,6.4171,303,4686340096,77,1,3,3
8,141,5.4773,2.2500,5.8360,240,4686340096,77,1,3,3
8,142,5.6185,1.6100,5.8325,240,4686471168,77,1,3,3
8,143,6.6125,1.7058,6.0366,254,4686471168,77,1,3,3
8,144,7.1513,2.2315,7.0490,240,4686471168,77,1,3,3
